id,name
7710,Social Sciences Building
7704,Perkins Library
7214,Classroom Bldg.
7709,Sociology-Psychology Building
7705,Language Center
7753,Allen Bldg.
7758,Biological Sciences Bldg.
7749,Physics Bldg
7202,West Duke
7224,Friedl Bldg.
7747,Hudson Hall
7261,Smith Warehouse
7765,Gross Hall
7512,Trent Drive Hall
7201,East Duke
7776,Levine Science Research Center
7706,Old Chemistry Building
7232,Biddle Music Bldg.
7702,Gray Bldg
8067,1317 Pettigrew
7725,Sanford Institute of Public Policy
7738,French Science Center
7791,Bryan Student Center
7206,Crowell Building
7213,Richard White Lecture Hall
7768,Environment Hall
7510,John Hope Franklin Center
7735,Fitzpatrick Center
7739,Rubenstein Hall
7766,Teer Engineering Bldg
7777,Wilson West Campus Recreation Fac.
7194,Rubenstein Arts Center
7228,Bivins Bldg
7716,Page Auditorium
7207,The Ark
7198,Nasher Art Museum
7121,Duke School Children Campus
7229,Branson Bldg.
7236,Bell Tower Dorm
7756,North Bldg.
7795,Keohane Quad
7708,Westbrook Divinity Building
7226,Brodie Memorial Gym
7513,Nanaline H. Duke Building
7508,Duke Clinic - Original Hospital
7760,Keller Ctr. Fuqua School of Bus
7230,Gilbert-Addoms
7235,Randolph Dorm
7251,Art Bldg.
7222,Union East
7759,Law Bldg.
7199,406 Oregon St.
7540,Snyderman Genome Science Res Bldg
7707,Langford Divinity Bldg.
7234,Blackwell Dorm
7262,Bevan Bldg
7511,Hanes House
7549,Edwin L. Jones Building
7579,Bryan Neuro Research Facility
7701,Duke Chapel
7737,Student Wellness
8077,ATC Full Frame Theater
8361,Chesterfield Building
